City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
41,Villa Bruzual,VE,82.6,light rain,9.33,-69.12,Hotel Turístico Sol de Arichuna
42,Manokwari,ID,81.03,light rain,-0.87,134.08,Hotel Arfak
43,Saint-Philippe,RE,73.4,light rain,-21.36,55.77,Le Baril
44,Dzaoudzi,YT,82.4,few clouds,-12.79,45.27,2.0 hôtel
45,Katsuura,JP,72.0,light rain,35.13,140.3,潮騒の宿
46,Khatanga,RU,78.98,broken clouds,71.97,102.5,Хатанга
48,Ojinaga,MX,77.0,clear sky,29.57,-104.42,Hotel
49,Kalmunai,LK,82.31,light rain,7.42,81.82,Saji new food
50,Victoria,HK,86.0,overcast clouds,22.29,114.16,四季酒店 Four Seasons Hotel
51,Lulea,SE,73.4,thunderstorm,65.58,22.15,Quality Hotel
54,Imbituba,BR,78.8,broken clouds,-28.24,-48.67,Silvestre Praia Hotel
55,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Hermanus Backpackers
56,Bethel,US,77.0,clear sky,41.37,-73.41,Hampton Inn Danbury
57,Kahului,US,75.2,broken clouds,20.89,-156.47,Maui Seaside Hotel
60,Beira,MZ,75.2,few clouds,-19.84,34.84,Hotel Savoy
61,Kijang,KR,73.4,overcast clouds,35.24,129.21,아난티 힐튼 부산
63,West Bay,KY,87.8,dust,19.37,-81.42,Bonnie's Arch
64,Porbandar,IN,87.33,scattered clouds,21.64,69.61,Toran Tourist Bungalow
66,Manzanillo,CU,84.27,clear sky,20.34,-77.12,Hotel Venus
67,Faanui,PF,78.39,few clouds,-16.48,-151.75,Oa Oa Lodge
70,Prado,BR,78.51,few clouds,-17.34,-39.22,Pousada Recanto do Prado
71,Caravelas,BR,79.74,clear sky,-17.71,-39.25,Pousada dos Navegantes
72,Castro,BR,70.56,clear sky,-24.79,-50.01,Grande Hotel
74,Bani,DO,86.0,scattered clouds,18.28,-70.33,Hotel Caribani
75,Tooele,US,73.0,clear sky,40.53,-112.3,Kirk Hotel
76,San Patricio,MX,80.96,clear sky,19.22,-104.7,Sueño del Sol
77,Puri,IN,87.8,haze,19.8,85.85,Divine Beach Homestay
78,Kuressaare,EE,77.0,clear sky,58.25,22.5,Grand Rose SPA Hotell
79,Hilo,US,73.4,light rain,19.73,-155.09,Dolphin Bay Hotel
81,Barrhead,GB,80.01,scattered clouds,55.8,-4.39,Dalmeny Park Country House Hotel
85,Cabo San Lucas,MX,77.0,few clouds,22.89,-109.91,Hotel Estancia Real
86,Banjar,ID,80.6,scattered clouds,-8.19,114.97,Villa Banjar Beach
87,Miandrivazo,MG,84.45,clear sky,-19.52,45.47,Reine Rasalimo
88,Lewiston,US,73.99,clear sky,44.1,-70.21,Hampton
89,Georgetown,MY,84.2,few clouds,5.41,100.34,SAVV Hotel
90,Busia,UG,76.68,light rain,0.45,34.08,Rand Hotel
92,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Grand Bel Air
95,Palanga,LT,80.6,few clouds,55.92,21.07,Virigis
97,Sao Filipe,CV,75.83,few clouds,14.9,-24.5,Hotel Xaguate
98,Saint-Dizier,FR,89.6,clear sky,48.42,5.08,Soleil d'or
99,Margate,GB,84.99,clear sky,51.38,1.39,The Reading Rooms
101,Angoche,MZ,74.89,few clouds,-16.23,39.91,Hotel Quirimbas
102,Shimoda,JP,70.0,overcast clouds,34.67,138.95,黒船ホテル
103,Steinbach,DE,86.0,few clouds,50.17,8.57,Alt Steinbach
105,Tomigusuku,JP,80.6,broken clouds,26.18,127.67,グランビュー沖縄
108,Mogadishu,SO,82.4,broken clouds,2.04,45.34,SYL Hotel
110,Xuanhua,CN,70.88,light rain,40.61,115.04,Century dynasty hotel
112,Isangel,VU,73.11,overcast clouds,-19.55,169.27,Tanna Lodge
113,Hohhot,CN,73.4,few clouds,40.81,111.65,Yue Jia Budget Hotel (foreigners approved)
118,Matara,LK,80.11,overcast clouds,5.95,80.54,Villa Palm Breeze
119,Meulaboh,ID,76.66,overcast clouds,4.14,96.13,Hotel Meuligou
121,Mbalmayo,CM,84.2,broken clouds,3.52,11.5,Hôtel Relais
122,Marsala,IT,86.0,clear sky,37.8,12.44,Hotel Carmine
125,Nicoya,CR,78.8,broken clouds,10.15,-85.45,Hotel marianela
127,Muisne,EC,76.32,overcast clouds,0.6,-80.03,Hostal Té de Menta
128,Zhangye,CN,80.35,overcast clouds,38.93,100.45,恒盛酒店
129,Duncanville,US,78.8,broken clouds,32.65,-96.91,Hilton Garden Inn
130,Benghazi,LY,77.67,clear sky,32.12,20.07,فندق
132,Mount Pleasant,US,79.0,few clouds,32.79,-79.86,Old Village Post House
133,Havelock,US,80.01,broken clouds,34.88,-76.9,Quality Inn Havelock Hwy 70
134,Porto Santo,PT,73.4,scattered clouds,33.07,-16.34,Praia Dourada
135,Tomatlan,MX,80.91,broken clouds,19.93,-105.25,Hotel Hacienda Vieja Tomatlan
136,Hamilton,US,75.99,clear sky,39.18,-84.53,North Vista Manor
137,Sioux Falls,US,73.0,scattered clouds,43.55,-96.7,Center Inn
138,Szihalom,HU,77.34,overcast clouds,47.77,20.48,Boglárka panzió
140,Khabary,RU,70.68,broken clouds,53.63,79.53,"Гостиница ""Элегия"" с. Хабары"
141,Roma,US,71.01,clear sky,43.21,-75.46,Wingate by Wyndham Rome
142,Acapulco,MX,82.4,broken clouds,16.86,-99.89,kristal Beach
143,Chekhov,RU,80.6,scattered clouds,55.14,37.47,Гостиница Олимпийская
144,Luoyang,CN,87.01,scattered clouds,34.68,112.45,一见客栈
145,Maputo,MZ,73.99,broken clouds,-25.97,32.59,Hoyo-Hoyo
146,Las Vegas,US,86.0,clear sky,36.17,-115.14,Flaminto Hotel
147,Bucak,TR,86.0,scattered clouds,37.46,30.59,İnan Otel
149,Mudanya,TR,82.4,broken clouds,40.38,28.88,Montania Special Class Hotel
150,Muroto,JP,76.84,light rain,33.28,134.15,民宿うらしま
151,Sabang,ID,84.02,overcast clouds,5.89,95.32,Sabang Hill
152,Lincoln,US,77.0,light rain,40.8,-96.67,New Victorian Suites Lincoln
153,Laurinburg,US,71.6,heavy intensity rain,34.77,-79.46,Holiday Inn Express & Suites Laurinburg
154,Leisure City,US,90.0,clear sky,25.5,-80.43,Uptown Suites Extended Stay Miami FL - Homestead
155,Tifton,US,78.8,overcast clouds,31.45,-83.51,Fairfield Inn & Suites Tifton
156,Kuopio,FI,86.0,clear sky,62.89,27.68,Scandic Atlas
157,Jamestown,US,70.0,broken clouds,42.1,-79.24,DoubleTree Jamestown
160,Banda Aceh,ID,81.77,overcast clouds,5.56,95.32,Siwah Hotel
161,Cartagena,CO,84.2,haze,10.4,-75.51,Hotel Bellamar
164,Trinidad,BO,77.0,broken clouds,-14.83,-64.9,Mi Residencia
165,Lipari,IT,84.2,few clouds,38.47,14.95,Villa Augustus
166,Saint-Pierre,RE,73.4,scattered clouds,-21.34,55.48,Tropic Hotel
167,Cayenne,GF,80.6,broken clouds,4.93,-52.33,Central Hôtel
168,Novorzhev,RU,80.58,clear sky,57.03,29.33,Гостиница
169,Haapsalu,EE,82.99,clear sky,58.94,23.54,Hotell Kongo
170,Springdale,US,78.01,clear sky,36.19,-94.13,Super 8 by Wyndham Springdale AR
171,Boke,GN,88.23,overcast clouds,10.94,-14.3,Hôtel Rio Nunez
